STATION,NAME,DATE,AWND,DAPR,EVAP,MDPR,MNPN,MXPN,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WDMV,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/21/2018,14.09,,,,,,,0.49,4.1,0,33,36,32,,30,30,,,,25.9,31.1,1,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/22/2018,15.66,,,,,,,0,0,2,39,49,34,,320,320,,,,25.1,34,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/23/2018,15.88,,,,,,,0,0,0,42,51,35,,340,340,,,,25.1,34,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/24/2018,7.38,,,,,,,0,0,0,42,52,33,,330,330,,,,21,27.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/25/2018,11.41,,,,,,,0,0,0,41,48,34,,90,360,,,,21.9,23.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/26/2018,8.5,,,,,,,0,0,0,42,50,34,,110,70,,,,16.1,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/27/2018,6.71,,,,,,,0.02,0,0,41,48,34,,200,,,,,10.1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/28/2018,4.7,,,,,,,0.1,0,0,47,58,43,,190,210,,,,10.1,13,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/29/2018,7.38,,,,,,,0,0,0,56,78,48,,210,210,,,,23,30,1,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/30/2018,16.11,,,,,,,0,0,0,66,77,45,,330,330,,,,29.1,38.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/31/2018,11.41,,,,,,,0,0,0,50,61,39,,180,190,,,,21,25.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/1/2018,8.95,,,,,,,0,0,0,55,67,50,,190,190,,,,21,25.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/2/2018,10.07,,,,,,,0.02,0,0,49,54,42,,10,10,,,,23.9,27.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/3/2018,7.38,,,,,,,0.01,0,0,47,56,44,,130,140,,,,21,25.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/4/2018,17.45,,,,,,,0,0,0,57,73,42,,320,320,,,,35.1,46.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/5/2018,10.74,,,,,,,0,0,0,45,56,34,,320,300,,,,21.9,29.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/6/2018,13.42,,,,,,,0,0,0,53,72,44,,200,200,,,,29.1,38.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/7/2018,13.2,,,,,,,0,0,0,51,67,37,,330,330,,,,25.9,31.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/8/2018,14.09,,,,,,,0,0,0,42,51,34,,340,320,,,,21.9,29.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/9/2018,6.71,,,,,,,0.02,0,0,42,46,38,,50,50,,,,14.1,15,1,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/10/2018,10.07,,,,,,,0,0,0,46,55,38,,350,310,,,,19.9,25.9,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/11/2018,6.49,,,,,,,0,0,0,49,57,43,,170,170,,,,16.1,23,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/12/2018,13.2,,,,,,,0,0,0,57,78,45,,200,190,,,,32,40.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/13/2018,13.87,,,,,,,0,0,0,71,86,60,,220,220,,,,25.1,31.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/14/2018,12.97,,,,,,,0,0,0,74,85,63,,210,210,,,,25.9,35.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/15/2018,16.11,,,,,,,0.13,0,0,61,69,48,,60,60,,,,25.9,32,1,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/16/2018,12.08,,,,,,,1.88,0,0,53,62,45,,280,290,,,,23.9,33.1,1,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/17/2018,13.2,,,,,,,0,0,0,45,49,40,,310,290,,,,23,30,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/18/2018,7.61,,,,,,,0,0,0,48,62,36,,260,320,,,,16.1,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/19/2018,14.09,,,,,,,0.03,0,0,53,59,43,,310,300,,,,33.1,44.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/20/2018,12.75,,,,,,,0,0,0,48,61,38,,340,320,,,,23.9,29.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/21/2018,5.14,,,,,,,0,0,0,52,63,42,,60,50,,,,15,17,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/22/2018,7.16,,,,,,,0,0,0,57,67,48,,110,90,,,,16.1,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/23/2018,7.38,,,,,,,0,0,0,59,69,50,,140,130,,,,21,25.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/24/2018,10.96,,,,,,,0.46,0,0,58,63,55,,110,120,,,,23.9,32,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/25/2018,7.83,,,,,,,0.32,0,0,59,67,55,,320,330,,,,16.1,19.9,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/26/2018,8.5,,,,,,,0,0,0,62,73,50,,330,280,,,,19.9,25.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/27/2018,6.04,,,,,,,0.72,0,0,59,64,54,,40,50,,,,17,21.9,1,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/28/2018,10.96,,,,,,,0,0,0,62,78,51,,330,340,,,,29.1,36,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/29/2018,14.54,,,,,,,0,0,0,53,58,45,,320,330,,,,25.1,33.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/30/2018,10.51,,,,,,,0,0,0,55,73,41,,330,310,,,,23.9,34,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/1/2018,6.26,,,,,,,0,0,0,66,83,49,,270,250,,,,15,21,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/2/2018,7.83,,,,,,,0,0,0,72,91,56,,230,250,,,,18.1,25.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/3/2018,10.51,,,,,,,0,0,0,76,90,64,,210,210,,,,21,27.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/4/2018,10.74,,,,,,,0,0,0,78,90,69,,330,320,,,,25.1,30,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/5/2018,7.83,,,,,,,0,0,0,73,76,62,,360,360,,,,17,21,,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/6/2018,8.28,,,,,,,0,0,0,65,73,59,,310,320,,,,17,21,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/7/2018,7.83,,,,,,,0,0,0,66,77,58,,50,60,,,,14.1,17,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/8/2018,7.16,,,,,,,0,0,0,68,78,58,,90,60,,,,13,19,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/9/2018,5.59,,,,,,,0,0,0,68,80,57,,130,110,,,,14.1,17,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/10/2018,9.4,,,,,,,0,0,0,70,83,61,,200,210,,,,18.1,25.1,,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/11/2018,6.26,,,,,,,0,0,0,73,85,61,,120,10,,,,16.1,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/12/2018,8.72,,,,,,,0.15,0,0,76,90,67,,360,320,,,,25.9,35.1,,,1,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/13/2018,7.61,,,,,,,0.52,0,0,69,73,63,,60,360,,,,17,19.9,1,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/14/2018,6.26,,,,,,,1.49,0,0,67,81,62,,350,290,,,,29.1,38,1,,1,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/15/2018,12.97,,,,,,,0.41,0,0,75,89,66,,250,260,,,,33.1,42.1,1,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/16/2018,5.82,,,,,,,0.82,0,0,72,75,67,,70,90,,,,13,16.1,1,,1,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/17/2018,8.5,,,,,,,0.97,0,0,67,69,66,,60,50,,,,14.1,15,1,,1,,,,,,
